Date,totalnetwork_115,totalnetwork_230,totalnetwork_424,totalnetwork_460
2010/8/20,,,,
2010/8/23,,,,
2010/8/24,,,,
2010/8/25,,,,
2010/8/26,,,,
2010/8/27,,,,
2010/8/30,,,,
2010/8/31,,,,
2010/9/1,,,,
2010/9/2,,,,
2010/9/3,,,,
2010/9/7,,,,
2010/9/8,,,,
2010/9/9,,,,
2010/9/10,,,,
2010/9/13,,,,
2010/9/14,,,,
2010/9/15,,,,
2010/9/16,,,,
2010/9/17,,,,
2010/9/20,,,,
2010/9/21,,,,
2010/9/27,,,,
2010/9/28,,,,
2010/9/29,,,,
2010/9/30,,,,
2010/10/8,,,,
2010/10/11,,,,
2010/10/12,,,,
2010/10/13,,,,
2010/10/14,,,,
2010/10/15,,,,
2010/10/18,,,,
2010/10/19,,,,
2010/10/20,,,,
2010/10/21,,,,
2010/10/22,,,,
2010/10/25,,,,
2010/10/26,,,,
2010/10/27,,,,
2010/10/28,,,,
2010/10/29,,,,
2010/11/1,,,,
2010/11/2,,,,
2010/11/3,,,,
2010/11/4,,,,
2010/11/5,,,,
2010/11/8,,,,
2010/11/9,,,,
2010/11/10,,,,
2010/11/11,,,,
2010/11/12,,,,
2010/11/15,,,,
2010/11/16,,,,
2010/11/17,,,,
2010/11/18,,,,
2010/11/19,,,,
2010/11/22,,,,
2010/11/23,,,,
2010/11/24,,,,
2010/11/26,,,,
2010/11/29,,,,
2010/11/30,,,,
2010/12/1,,,,
2010/12/2,,,,
2010/12/3,,,,
2010/12/6,,,,
2010/12/7,,,,
2010/12/8,,,,
2010/12/9,,,,
2010/12/10,,,,
2010/12/13,,,,
2010/12/14,,,,
2010/12/15,,,,
2010/12/16,,,,
2010/12/17,,,,
2010/12/20,,,,
2010/12/21,,,,
2010/12/22,,,,
2010/12/23,,,,
2010/12/27,,,,
2010/12/28,,,,
2010/12/29,,,,
2010/12/30,,,,
2010/12/31,,,,
2011/1/4,,,,
2011/1/5,,,,
2011/1/6,,,,
2011/1/7,,,,
2011/1/10,,,,
2011/1/11,,,,
2011/1/12,,,,
2011/1/13,,,,
2011/1/14,,,,
2011/1/18,,,,
2011/1/19,,,,
2011/1/20,,,,
2011/1/21,,,,
2011/1/24,,,,
2011/1/25,,,,
2011/1/26,,,,
2011/1/27,,,,
2011/1/28,,,,
2011/1/31,,,,
2011/2/1,,,,
2011/2/9,,,,
2011/2/10,,,,
2011/2/11,,,,
2011/2/14,,,,
2011/2/15,,,,
2011/2/16,,,,
2011/2/17,,,,
2011/2/18,,,,
2011/2/22,,,,
2011/2/23,0.503748141,,,
2011/2/24,0.520682604,,,
2011/2/25,0.499471177,,,
2011/2/28,0.494397613,,,
2011/3/1,0.486555287,,,
2011/3/2,0.523556439,,,
2011/3/3,0.525397651,,,
2011/3/4,0.519434665,,,
2011/3/7,0.529853293,,,
2011/3/8,0.546392236,,,
2011/3/9,0.592715401,,,
2011/3/10,0.565214326,,,
2011/3/11,0.517587729,,,
2011/3/14,0.529538949,,,
2011/3/15,0.527834238,,,
2011/3/16,0.555302494,,,
2011/3/17,0.543411941,,,
2011/3/18,0.533148018,,,
2011/3/21,0.552609716,,,
2011/3/22,0.565064759,,,
2011/3/23,0.572225667,,,
2011/3/24,0.593909876,,,
2011/3/25,0.62719104,,,
2011/3/28,0.603222126,,,
2011/3/29,0.580931984,,,
2011/3/30,0.619377331,,,
2011/3/31,0.621065996,,,
2011/4/1,0.552281579,,,
2011/4/6,0.554475485,,,
2011/4/7,0.575651441,,,
2011/4/8,0.542124068,,,
2011/4/11,0.595326612,,,
2011/4/12,0.605139924,,,
2011/4/13,0.527259115,,,
2011/4/14,0.59494068,,,
2011/4/15,0.584234215,,,
2011/4/18,0.5283244,,,
2011/4/19,0.469862999,,,
2011/4/20,0.477349046,,,
2011/4/21,0.425770209,,,
2011/4/27,0.44555417,,,
2011/4/28,0.487404224,,,
2011/5/3,0.445526997,,,
2011/5/4,0.42109914,,,
2011/5/5,0.385105993,,,
2011/5/6,0.353524989,,,
2011/5/9,0.367481924,,,
2011/5/10,0.386220562,,,
2011/5/11,0.381433758,,,
2011/5/12,0.390603832,,,
2011/5/13,0.384923203,,,
2011/5/16,0.441072509,,,
2011/5/17,0.369797571,,,
2011/5/18,0.337882924,,,
2011/5/19,0.33335763,,,
2011/5/20,0.305489886,,,
2011/5/23,0.29770304,,,
2011/5/24,0.260226668,,,
2011/5/25,0.292592603,,,
2011/5/26,0.271074874,,,
2011/5/27,0.222797118,,,
2011/5/31,0.257155198,,,
2011/6/1,0.247049046,,,
2011/6/2,0.264882073,,,
2011/6/3,0.174931335,,,
2011/6/7,0.166911265,,,
2011/6/8,0.213373628,,,
2011/6/9,0.229038379,,,
2011/6/10,0.267038919,,,
2011/6/13,0.267969844,,,
2011/6/14,0.295949282,,,
2011/6/15,0.320001074,,,
2011/6/16,0.289622591,,,
2011/6/17,0.309393822,,,
2011/6/20,0.312189885,,,
