"","V1","V2"
"1",1,4.9998025
"2",1,4.99921
"3",1,4.9982225
"4",1,4.99684
"5",1,4.9950625
"6",1,4.99289
"7",1,4.9903225
"8",1,4.98736
"9",1,4.9840025
"10",1,4.98025
"11",1,4.9761025
"12",1,4.97156
"13",1,4.9666225
"14",1,4.96129
"15",1,4.9555625
"16",1,4.94944
"17",1,4.9429225
"18",1,4.93601
"19",1,4.9287025
"20",1,4.921
"21",1,4.9129025
"22",1,4.90441
"23",1,4.8955225
"24",1,4.88624
"25",1,4.8765625
"26",1,4.86649
"27",1,4.8560225
"28",1,4.84516
"29",1,4.8339025
"30",1,4.82225
"31",1,4.8102025
"32",1,4.79776
"33",1,4.7849225
"34",1,4.77169
"35",1,4.7580625
"36",1,4.74404
"37",1,4.7296225
"38",1,4.71481
"39",1,4.6996025
"40",1,4.684
"41",1,4.6680025
"42",1,4.65161
"43",1,4.6348225
"44",1,4.61764
"45",1,4.6000625
"46",1,4.58209
"47",1,4.5637225
"48",1,4.54496
"49",1,4.5258025
"50",1,4.50625
"51",1,4.4863025
"52",1,4.46596
"53",1,4.4452225
"54",1,4.42409
"55",1,4.4025625
"56",1,4.38064
"57",1,4.3583225
"58",1,4.33561
"59",1,4.3125025
"60",1,4.289
"61",1,4.2651025
"62",1,4.24081
"63",1,4.2161225
"64",1,4.19104
"65",1,4.1655625
"66",1,4.13969
"67",1,4.1134225
"68",1,4.08676
"69",1,4.0597025
"70",1,4.03225
"71",1,4.0044025
"72",1,3.97616
"73",1,3.9475225
"74",1,3.91849
"75",1,3.8890625
"76",1,3.85924
"77",1,3.8290225
"78",1,3.79841
"79",1,3.7674025
"80",1,3.736
"81",1,3.7042025
"82",1,3.67201
"83",1,3.6394225
"84",1,3.60644
"85",1,3.5730625
"86",1,3.53929
"87",1,3.5051225
"88",1,3.47056
"89",1,3.4356025
"90",1,3.40025
"91",1,3.3645025
"92",1,3.32836
"93",1,3.2918225
"94",1,3.25489
"95",1,3.2175625
"96",1,3.17984
"97",1,3.1417225
"98",1,3.10321
"99",1,3.0643025
"100",1,3.025
"101",1,2.9853025
"102",1,2.94521
"103",1,2.9047225
"104",1,2.86384
"105",1,2.8225625
"106",1,2.78089
"107",1,2.7388225
"108",1,2.69636
"109",1,2.6535025
"110",1,2.61025
"111",1,2.5666025
"112",1,2.52256
"113",1,2.4781225
"114",1,2.43329
"115",1,2.3880625
"116",1,2.34244
"117",1,2.2964225
"118",1,2.25001
"119",1,2.2032025
"120",1,2.156
"121",1,2.1084025
"122",1,2.06041
"123",1,2.0120225
"124",1,1.96324
"125",1,1.9140625
"126",1,1.86449
"127",1,1.8145225
"128",1,1.76416
"129",1,1.7134025
"130",1,1.66225
"131",1,1.6107025
"132",1,1.55876
"133",1,1.5064225
"134",1,1.45369
"135",1,1.4005625
"136",1,1.34704
"137",1,1.2931225
"138",1,1.23881
"139",1,1.1841025
"140",1,1.129
"141",1,1.0735025
"142",1,1.01761
"143",1,0.961322500000001
"144",1,0.90464
"145",1,0.8475625
"146",1,0.79009
"147",1,0.7322225
"148",1,0.67396
"149",1,0.6153025
"150",1,0.556249999999999
"151",1,0.496802499999999
"152",1,0.43696
"153",1,0.3767225
"154",1,0.31609
"155",1,0.255062499999999
"156",1,0.193639999999999
"157",1,0.131822499999999
"158",1,0.0696099999999991
"159",1,0.00700249999999958
"160",1,-0.0560000000000009
"161",1,-0.119397500000001
"162",1,-0.183190000000002
"163",1,-0.2473775
"164",1,-0.311959999999999
"165",1,-0.376937499999999
"166",1,-0.44231
"167",1,-0.5080775
"168",1,-0.57424
"169",1,-0.6407975
"170",1,-0.70775
"171",1,-0.775097499999999
"172",1,-0.84284
"173",1,-0.9109775
"174",1,-0.97951
"175",1,-1.0484375
"176",1,-1.11776
"177",1,-1.1874775
"178",1,-1.25759
"179",1,-1.3280975
"180",1,-1.399
"181",1,-1.4702975
"182",1,-1.54199
"183",1,-1.6140775
"184",1,-1.68656
"185",1,-1.7594375
"186",1,-1.83271
"187",1,-1.9063775
"188",1,-1.98044
"189",1,-2.0548975
"190",1,-2.12975
"191",1,-2.2049975
"192",1,-2.28064
"193",1,-2.3566775
"194",1,-2.43311
"195",1,-2.5099375
"196",1,-2.58716
"197",1,-2.6647775
"198",1,-2.74279
"199",1,-2.8211975
"200",1,-2.9
